grupo,dimensao,n,media,mediana,p25,p75
Meia Praia,suburb,294,704.29,635.57,501.67,782.83
Tabuleiro dos Oliveiras,suburb,12,672.74,581.75,521.93,748.86
Centro,suburb,136,598.42,541.7,433.95,676.8
Morretes,suburb,44,550.33,524.53,397.72,597.07
Canto da Praia,suburb,3,549.84,544.47,531.24,565.76
Casa Branca,suburb,7,324.96,300,260.63,369.12
Varzea,suburb,1,1677.07,1677.07,1677.07,1677.07
Ilhota,suburb,6,577.39,556.42,392.37,652
Sertaozinho,suburb,3,1888.36,1661.36,1072.39,2590.82
Alto Sao Bento,suburb,3,1022.07,291.43,239.91,1438.92
Sertao do Trombudo,suburb,2,384.23,384.23,382.12,386.34
apartamento,listing_type,485,655.87,585.65,480,752.75
outros,listing_type,5,167.55,165.11,153.9,173.33
casa,listing_type,21,969.65,517.25,380.01,1661.36
3 quarto(s),n_bedrooms,210,726.85,708.31,571.64,832.06
2 quarto(s),n_bedrooms,173,536.04,518,398.98,638.88
1 quarto(s),n_bedrooms,88,468.67,476.13,401.61,543.53
0 quartos,n_bedrooms,5,436.21,433.17,413.81,486.67
4 quarto(s),n_bedrooms,31,1324.44,1345.59,893.96,1668.35
5 quarto(s),n_bedrooms,1,1677.07,1677.07,1677.07,1677.07
6 quarto(s),n_bedrooms,2,2590.82,2590.82,2126.09,3055.56
12 quarto(s),n_bedrooms,1,2586.4,2586.4,2586.4,2586.4
