airbnb_listing_id,n_stay_dates,coverage_ratio,avg_daily_price,annual_revenue_occ_40,annual_revenue_occ_50,annual_revenue_occ_60
1137698308528017474,53,0.5824,668.68,97627.17,122033.96,146440.75
1139831117529014384,78,0.8571,582.26,85009.44,106261.79,127514.15
1153493820067017135,57,0.6264,413.63,60390.00,75487.50,90585.00
1181723518413479765,86,0.9451,524.38,76560.02,95700.03,114840.03
1182018398755268829,61,0.6703,662.55,96732.18,120915.23,145098.27
1182043782165637473,72,0.7912,531.67,77623.33,97029.17,116435.00
1184078920130796920,70,0.7692,414.31,60489.89,75612.36,90734.83
1188339469325210376,67,0.7363,543.54,79356.45,99195.56,119034.67
1189331897618015345,62,0.6813,670.14,97839.82,122299.77,146759.73
1193414131980072087,56,0.6154,649.49,94825.70,118532.12,142238.54
1193496259129259761,76,0.8352,676.55,98776.68,123470.86,148165.03
1197195878719681680,64,0.7033,405.24,59164.60,73955.75,88746.90
1199996219082185363,54,0.5934,212.35,31003.37,38754.21,46505.06
1203140233522044896,73,0.8022,441.64,64479.20,80599.00,96718.80
1207338410880339003,83,0.9121,439.09,64107.49,80134.36,96161.23
1213824251801309412,70,0.7692,1063.97,155339.83,194174.79,233009.74
1219655958873769070,67,0.7363,668.39,97585.56,121981.96,146378.35
1262982199583014782,76,0.8352,716.34,104585.95,130732.43,156878.92
1272537775161574422,54,0.5934,524.25,76541.18,95676.47,114811.76
1274679812745645557,68,0.7473,529.95,77372.49,96715.61,116058.73
1280559161534348023,85,0.9341,591.66,86382.19,107977.74,129573.28
1297930815921503919,74,0.8132,898.33,131155.84,163944.81,196733.77
1303745304497797235,70,0.7692,676.85,98820.10,123525.13,148230.15
1304403734260231676,68,0.7473,570.18,83246.30,104057.88,124869.45
1313064371372817918,83,0.9121,880.00,128480.00,160600.00,192720.00
1314095834089788250,78,0.8571,794.92,116058.15,145072.68,174087.22
1315954985293478319,83,0.9121,813.96,118837.84,148547.30,178256.77
1320995339425720277,55,0.6044,679.81,99252.57,124065.71,148878.85
1321022086036905023,84,0.9231,871.46,127233.50,159041.87,190850.24
1329787295308110610,71,0.7802,935.00,136510.00,170637.50,204765.00
15500038,59,0.6484,437.46,63868.48,79835.60,95802.73
1002341236260011015,54,0.5934,351.85,51370.37,64212.96,77055.56
1004496327455456339,79,0.8681,374.97,54745.38,68431.72,82118.07
1005860682746801029,66,0.7253,396.15,57838.12,72297.65,86757.18
1006396584243125090,72,0.7912,556.28,81217.40,101521.75,121826.10
1011115904222911872,67,0.7363,751.46,109713.19,137141.49,164569.78
1015691857467598452,55,0.6044,1225.31,178895.13,223618.91,268342.69
1019756845213291605,72,0.7912,173.33,25305.65,31632.07,37958.48
1023885231203292759,70,0.7692,496.16,72439.64,90549.55,108659.46
1031938290013047428,80,0.8791,639.25,93330.96,116663.70,139996.43
1034873975277447845,51,0.5604,722.26,105449.45,131811.82,158174.18
1045520246239520927,81,0.8901,950.78,138814.16,173517.70,208221.23
1045916135727198441,59,0.6484,669.17,97698.33,122122.92,146547.50
1053522951026570547,65,0.7143,587.05,85708.93,107136.16,128563.39
1054265461023254222,58,0.6374,488.17,71273.17,89091.47,106909.76
1057964852411462810,77,0.8462,292.66,42728.70,53410.88,64093.05
1060712994513047104,59,0.6484,419.34,61224.11,76530.14,91836.17
1062221285605590578,66,0.7253,557.21,81352.65,101690.82,122028.98
1081972140987250431,63,0.6923,638.88,93276.04,116595.05,139914.06
1100991386372756521,90,0.9890,819.89,119703.78,149629.72,179555.67
1111626053814730010,63,0.6923,735.34,107359.25,134199.06,161038.87
1131810056799937593,72,0.7912,735.25,107345.99,134182.49,161018.99
11567423,62,0.6813,814.35,118895.81,148619.76,178343.71
1174263938200349649,88,0.9670,550.84,80422.22,100527.77,120633.33
1182070530301053205,56,0.6154,525.68,76749.72,95937.15,115124.58
1187061700423806804,73,0.8022,550.85,80424.00,100530.00,120636.00
1187558666042801587,64,0.7033,602.78,88006.06,110007.58,132009.09
1187772975255244525,63,0.6923,393.21,57409.29,71761.61,86113.93
1188476386889166335,64,0.7033,543.00,79278.19,99097.74,118917.29
1191261348067720296,61,0.6703,670.06,97828.38,122285.47,146742.57
1193347652334673191,54,0.5934,832.13,121490.93,151863.66,182236.39
1197121947398131654,50,0.5495,408.64,59661.44,74576.80,89492.16
1207864392976162235,74,0.8132,510.28,74501.43,93126.79,111752.15
1207881809440158991,82,0.9011,438.93,64084.50,80105.63,96126.76
1207940918769840398,68,0.7473,403.79,58953.23,73691.53,88429.84
1207992119242235910,73,0.8022,401.09,58559.33,73199.17,87839.00
1208704132667695539,91,1.0000,587.74,85810.30,107262.87,128715.45
1208735754877396448,69,0.7582,435.22,63541.74,79427.17,95312.61
1208746927423730353,72,0.7912,401.86,58671.05,73338.81,88006.57
1208757855935244741,63,0.6923,403.81,58956.58,73695.72,88434.87
1214464056304542513,74,0.8132,676.78,98809.45,123511.81,148214.17
1216602433904805187,63,0.6923,524.14,76524.47,95655.59,114786.71
1219597802580113056,63,0.6923,533.35,77868.98,97336.23,116803.48
1226846054624436877,68,0.7473,666.32,97283.24,121604.04,145924.85
1226856286781952840,69,0.7582,678.93,99124.48,123905.60,148686.72
1233994658216308874,48,0.5275,416.84,60859.19,76073.98,91288.78
1248514191377483703,70,0.7692,479.69,70034.11,87542.64,105051.17
1249385754807434824,63,0.6923,536.74,78363.76,97954.70,117545.64
1249919049392818339,74,0.8132,555.77,81142.46,101428.07,121713.69
1254384361135492137,81,0.8901,540.39,78896.78,98620.97,118345.17
1257312272803306995,73,0.8022,538.15,78569.50,98211.88,117854.25
1263128865886946817,76,0.8352,527.25,76978.50,96223.13,115467.75
1265295313956605287,73,0.8022,401.67,58644.33,73305.42,87966.50
1265370363028714118,60,0.6593,409.03,59718.87,74648.58,89578.30
1266717192483343855,62,0.6813,600.00,87600.00,109500.00,131400.00
1269623861253689862,58,0.6374,404.86,59109.44,73886.80,88664.16
1269636598524749154,63,0.6923,404.34,59033.05,73791.32,88549.58
1274055523929375490,69,0.7582,557.86,81446.84,101808.55,122170.26
1274533646308060247,81,0.8901,529.11,77249.92,96562.40,115874.88
